mutation	suite	cases_failed	verdict
verdict-not-derived	marker	4	killed
zero-samples-ok	marker	1	killed
instrument-unchecked	marker	1	killed
unreachable-is-observation	marker	1	killed
absence-outranks-evidence	marker	4	killed
malformed-ledger-ok	marker	1	killed
intent-may-carry-evidence	marker	1	killed
beacon-unencoded	marker	2	killed
beacon-base-unvalidated	marker	1	killed
beacon-fires-on-dry-run	marker	1	killed
unreachable-is-falsified	health	2	killed
event-derived-from-rc	health	3	killed
dev-label-reaches-the-forge	health	1	killed
