# thresholds.tsv -- one row per app per rule. GENERATED by
# gates/quality-gates.py --calibrate. Every row is a number somebody
# chose; `owner` is who answers for it and `since` is the build it was
# measured on. Both are the maintenance cost made visible: a threshold
# with no owner is a gate nobody can raise, lower, or retire.
# app	rule	threshold	owner	since
checkout	max_line_length	112	unowned	e74ba56
checkout	max_file_lines	122	unowned	e74ba56
checkout	max_func_lines	12	unowned	e74ba56
checkout	max_nesting	3	unowned	e74ba56
checkout	max_branches	16	unowned	e74ba56
checkout	max_todo	0	unowned	e74ba56
checkout	max_console	1	unowned	e74ba56
checkout	max_params	6	unowned	e74ba56
checkout	max_magic_numbers	1	unowned	e74ba56
checkout	max_dup_blocks	0	unowned	e74ba56
checkout	min_comment_pct	37	unowned	e74ba56
checkout	min_test_ratio	89	unowned	e74ba56
checkout	min_test_files	2	unowned	e74ba56
core	max_line_length	100	unowned	e74ba56
core	max_file_lines	150	unowned	e74ba56
core	max_func_lines	9	unowned	e74ba56
core	max_nesting	3	unowned	e74ba56
core	max_branches	26	unowned	e74ba56
core	max_todo	0	unowned	e74ba56
core	max_console	1	unowned	e74ba56
core	max_params	6	unowned	e74ba56
core	max_magic_numbers	0	unowned	e74ba56
core	max_dup_blocks	0	unowned	e74ba56
core	min_comment_pct	37	unowned	e74ba56
core	min_test_ratio	108	unowned	e74ba56
core	min_test_files	2	unowned	e74ba56
pdp	max_line_length	133	unowned	e74ba56
pdp	max_file_lines	336	unowned	e74ba56
pdp	max_func_lines	30	unowned	e74ba56
pdp	max_nesting	3	unowned	e74ba56
pdp	max_branches	48	unowned	e74ba56
pdp	max_todo	0	unowned	e74ba56
pdp	max_console	1	unowned	e74ba56
pdp	max_params	6	unowned	e74ba56
pdp	max_magic_numbers	1	unowned	e74ba56
pdp	max_dup_blocks	0	unowned	e74ba56
pdp	min_comment_pct	55	unowned	e74ba56
pdp	min_test_ratio	195	unowned	e74ba56
pdp	min_test_files	5	unowned	e74ba56
plp	max_line_length	100	unowned	e74ba56
plp	max_file_lines	550	unowned	e74ba56
plp	max_func_lines	44	unowned	e74ba56
plp	max_nesting	3	unowned	e74ba56
plp	max_branches	95	unowned	e74ba56
plp	max_todo	0	unowned	e74ba56
plp	max_console	1	unowned	e74ba56
plp	max_params	6	unowned	e74ba56
plp	max_magic_numbers	2	unowned	e74ba56
plp	max_dup_blocks	0	unowned	e74ba56
plp	min_comment_pct	54	unowned	e74ba56
plp	min_test_ratio	155	unowned	e74ba56
plp	min_test_files	5	unowned	e74ba56
